iter	Passed	Remaining
441	1290	1629
442	1293	1626
443	1296	1623
444	1299	1620
445	1302	1617
446	1304	1614
447	1307	1611
448	1310	1608
449	1313	1605
450	1316	1602
451	1319	1599
452	1322	1596
453	1325	1593
454	1327	1590
455	1330	1587
456	1333	1584
457	1336	1581
458	1339	1578
459	1342	1575
460	1344	1572
461	1347	1569
462	1350	1566
463	1353	1563
464	1356	1560
465	1359	1557
466	1361	1554
467	1364	1551
468	1367	1548
469	1370	1545
470	1373	1542
471	1376	1539
472	1378	1536
473	1381	1533
474	1384	1530
475	1387	1527
476	1390	1524
477	1393	1521
478	1395	1518
479	1398	1515
480	1401	1512
481	1404	1509
482	1407	1506
483	1409	1503
484	1412	1500
485	1415	1497
486	1419	1494
487	1422	1491
488	1424	1488
489	1427	1485
490	1430	1482
491	1433	1479
492	1436	1476
493	1438	1473
494	1441	1470
495	1444	1467
496	1447	1465
497	1450	1461
498	1453	1458
499	1455	1455
500	1458	1452
501	1461	1449
502	1464	1446
503	1466	1443
504	1469	1440
505	1472	1437
506	1475	1434
507	1478	1431
508	1481	1428
509	1484	1425
510	1486	1422
511	1489	1419
512	1492	1417
513	1495	1414
514	1498	1411
515	1501	1408
516	1504	1405
517	1506	1402
518	1509	1399
519	1512	1396
520	1515	1393
521	1517	1390
522	1520	1387
523	1523	1384
524	1526	1381
525	1529	1378
526	1532	1375
527	1535	1372
528	1537	1369
529	1540	1366
530	1543	1363
531	1546	1360
532	1549	1357
533	1551	1354
534	1554	1350
535	1557	1347
536	1559	1344
537	1562	1341
538	1565	1338
539	1568	1335
540	1572	1333
541	1574	1330
542	1577	1327
543	1580	1325
544	1583	1322
545	1586	1319
546	1589	1316
547	1592	1313
548	1594	1310
549	1599	1308
550	1602	1305
551	1605	1302
552	1607	1299
553	1610	1296
554	1613	1293
555	1615	1290
556	1618	1287
557	1621	1284
558	1624	1281
559	1627	1278
560	1629	1275
561	1632	1272
562	1635	1269
563	1638	1266
564	1640	1263
565	1643	1260
566	1646	1257
567	1649	1254
568	1651	1251
569	1654	1248
570	1657	1244
571	1659	1241
572	1662	1238
573	1665	1235
574	1667	1232
575	1670	1229
576	1673	1226
577	1676	1223
578	1678	1220
579	1681	1217
580	1684	1214
581	1687	1211
582	1689	1208
583	1692	1205
584	1695	1202
585	1697	1199
586	1700	1196
587	1703	1193
588	1705	1190
589	1708	1187
590	1711	1184
591	1713	1181
592	1716	1178
593	1719	1175
594	1721	1171
595	1724	1168
596	1727	1165
597	1729	1162
598	1732	1159
599	1735	1156
600	1737	1153
601	1740	1150
602	1743	1147
603	1746	1144
604	1748	1141
605	1751	1138
606	1754	1135
607	1756	1132
608	1759	1129
609	1762	1127
610	1765	1124
611	1768	1121
612	1771	1118
613	1773	1115
614	1776	1112
615	1779	1109
616	1782	1106
617	1784	1103
618	1787	1100
619	1790	1097
620	1793	1094
621	1795	1091
622	1798	1088
623	1801	1085
624	1805	1083
625	1807	1080
626	1810	1077
627	1813	1074
628	1816	1071
629	1818	1068
630	1821	1065
631	1825	1063
632	1828	1060
633	1830	1057
634	1833	1053
635	1836	1050
636	1838	1047
637	1841	1044
638	1844	1041
639	1846	1038
640	1849	1035
641	1852	1032
642	1855	1029
643	1857	1027
644	1860	1024
