iter	Logloss
0	0.6256290575
1	0.5628708661
2	0.5105176346
3	0.4788214815
4	0.4501922748
5	0.4185255942
6	0.390561101
7	0.3676265611
8	0.3468531618
9	0.3326786837
10	0.299595106
11	0.280932427
12	0.2628587073
13	0.24790689
14	0.2408057122
15	0.2257025499
16	0.2197550531
17	0.2125436769
18	0.2065493063
19	0.2014901299
20	0.197083896
21	0.1887422841
22	0.1825051675
23	0.1796110436
24	0.1767950958
25	0.1731611274
26	0.1704451693
27	0.1662067766
28	0.1635948768
29	0.1576491474
30	0.1552130767
31	0.1533642595
32	0.1509133775
33	0.1482920254
34	0.1460975324
35	0.1444936734
36	0.1406063665
37	0.1392193272
38	0.1369124373
39	0.1349259532
40	0.1334756447
41	0.1323272219
42	0.1309357837
43	0.1292352718
44	0.1276643495
45	0.1262912724
46	0.1227820588
47	0.1210963632
48	0.1194465982
49	0.1179850607
50	0.1167647067
51	0.1150102461
52	0.1139104104
53	0.1122540407
54	0.1111903628
55	0.1099223004
56	0.1087792811
57	0.1076245589
58	0.1062641917
59	0.1050530456
60	0.1038475242
61	0.1023682443
62	0.1003866817
63	0.09767863959
64	0.09676832895
65	0.09599601715
66	0.0952735512
67	0.09397733136
68	0.09307754016
69	0.09235340781
70	0.09152466127
71	0.09054290254
72	0.08971732882
73	0.08873631785
74	0.08829483508
75	0.08607918956
76	0.08509991524
77	0.08409453677
78	0.08356926629
79	0.08263220346
80	0.08151703108
81	0.08028697321
82	0.07920604109
83	0.07832278538
84	0.07613516218
85	0.075307195
86	0.07433435687
87	0.07339785453
88	0.0726271277
89	0.07129404665
90	0.07026163625
91	0.06874088188
92	0.06789456962
93	0.06642747989
94	0.06549883625
95	0.0649213693
96	0.06444867585
97	0.0633984069
98	0.06276344378
99	0.06223038366
100	0.06193171819
101	0.06125895882
102	0.06068505791
103	0.06009093561
104	0.05945034629
105	0.05865225764
106	0.05803888079
107	0.05781089999
108	0.05702698374
109	0.05627601008
110	0.05546843137
111	0.0547566519
112	0.05428031703
113	0.05368488905
114	0.05319567506
115	0.05278104891
116	0.0523530873
117	0.05183358837
118	0.05137275985
119	0.05091895599
120	0.05045776311
121	0.04996111294
122	0.04954567718
123	0.04905572693
124	0.04866293499
125	0.04823525408
126	0.04789305347
127	0.04715072684
128	0.04678493814
129	0.04639910009
130	0.04604382245
131	0.04567994306
132	0.04514229202
133	0.04494668798
134	0.04466693961
135	0.04443660864
136	0.04395164369
137	0.04360860191
138	0.04344638839
139	0.04302992429
140	0.04263554741
141	0.04246595545
142	0.04205283699
143	0.0416493295
144	0.04115003566
145	0.04072577091
146	0.04035090679
147	0.04002366042
148	0.03962559983
149	0.03942110903
150	0.039040531
151	0.03880562756
152	0.03842731673
153	0.03815150863
154	0.03775478782
155	0.03742460372
156	0.03721586196
157	0.03689242715
158	0.03673947302
159	0.03647942583
160	0.0362608728
161	0.03603659113
162	0.03576557108
163	0.03555105241
164	0.03539874732
165	0.03511558371
166	0.03485860355
167	0.0346689089
168	0.03447833028
169	0.03411725887
170	0.03384864148
171	0.0337389145
172	0.0334342677
173	0.03323947136
174	0.03298023976
175	0.03280706656
176	0.03261014812
177	0.03231424413
178	0.03208369685
179	0.03178003932
180	0.03153736439
181	0.03131384267
182	0.03115058954
183	0.03105016094
184	0.03091079415
185	0.0307679002
186	0.03058556455
187	0.03039780318
188	0.03028218171
189	0.03005827951
190	0.02993226299
191	0.02973083492
192	0.02954212599
193	0.02939924395
194	0.02919329388
195	0.02899224515
196	0.02884853492
197	0.02859224252
198	0.0285005383
199	0.02840043354
200	0.02822814296
201	0.0281211681
202	0.02797202234
203	0.02785627048
204	0.02766104522
205	0.02750140747
206	0.02740782251
207	0.02730069596
208	0.02705870563
209	0.02685982549
210	0.02671677164
211	0.02656937864
212	0.0263733923
213	0.02621076498
214	0.02608003507
215	0.02595277453
216	0.02586425577
217	0.02566094706
218	0.02544326497
219	0.02531526969
220	0.02514902841
221	0.02496898762
222	0.02484279038
223	0.02467086271
224	0.02448441187
225	0.02434489868
226	0.02424419476
227	0.02410656541
228	0.02391088583
229	0.02378869717
230	0.02361190692
231	0.02353148026
232	0.02333333378
233	0.02318179489
234	0.02308377344
235	0.02294511184
236	0.02280204179
237	0.02266554084
238	0.02254689907
239	0.02241617232
240	0.0222911645
241	0.02217201482
242	0.02203183968
243	0.02193034525
244	0.0218221928
245	0.0216923608
246	0.02156974577
247	0.02145021196
248	0.02133624385
249	0.02125238253
250	0.02118791784
251	0.02114028919
252	0.02103210235
253	0.020887477
254	0.02077180111
255	0.02064030832
256	0.02055116999
257	0.0204793573
258	0.02039540492
259	0.0203498078
260	0.02019029155
261	0.02014846264
262	0.02004913671
263	0.01995305974
264	0.01983418172
265	0.01973448685
266	0.01969832267
267	0.01954786361
268	0.01937533225
269	0.01928288129
270	0.01922750997
271	0.01914162291
272	0.01902028728
273	0.0188894011
274	0.01881615967
275	0.01873844015
276	0.01864482358
277	0.0185120654
278	0.01837087894
279	0.01828078579
280	0.0181427872
281	0.01804823904
282	0.01796891699
283	0.01786440637
284	0.0177843056
285	0.01771286943
286	0.01764933586
287	0.01759197011
288	0.01753430791
289	0.01745257318
290	0.01738916658
291	0.01730890613
292	0.01721616841
293	0.01717140645
294	0.01710688146
295	0.01703546239
296	0.0170016274
297	0.01690872566
298	0.01677638622
299	0.01668670243
300	0.01659987451
301	0.01653149043
302	0.01646072126
303	0.0163666799
304	0.01628905864
305	0.01620347403
306	0.01612509785
307	0.01604723287
308	0.01594709309
309	0.01587593679
310	0.01580152167
311	0.015720572
312	0.01564758801
313	0.01557979785
314	0.01551303459
315	0.0154355227
316	0.01535145917
317	0.01529645855
318	0.01520959576
319	0.01515565436
320	0.01509590286
321	0.01503817737
322	0.01497495593
323	0.01492207554
324	0.01488165823
325	0.01481073555
326	0.0147574985
327	0.0147290154
328	0.0146739528
329	0.01459089071
330	0.01451831261
331	0.01449134986
332	0.0144248646
333	0.01437315788
334	0.01434069792
335	0.01428624217
336	0.0142392476
337	0.01418318553
338	0.01415689473
339	0.01413620699
340	0.01407397443
341	0.01401387688
342	0.01396219423
343	0.0138703296
344	0.01383454317
345	0.01381178893
346	0.01377825978
347	0.01371836188
348	0.01364753271
349	0.01358898273
350	0.01353226828
351	0.01346293395
352	0.01338817052
353	0.01336541689
354	0.01330472568
355	0.01323527596
356	0.01317620016
357	0.0131549857
358	0.01310536227
359	0.01307856955
360	0.01302057064
361	0.01297968446
362	0.01291780489
363	0.012853148
364	0.01280093074
365	0.01273224743
366	0.01266836195
367	0.01263248175
368	0.01256699463
369	0.01252129644
370	0.01244847486
371	0.0123985601
372	0.0123525149
373	0.01231422906
374	0.01225721727
375	0.01220624254
376	0.01216435481
377	0.01212750377
378	0.0120902594
379	0.01205165913
380	0.01202055543
381	0.01197786431
